Symbol,Company Name,Market Cap,Sector,Price,Change 1D,Volume,PE Ratio
PXD,Pioneer Natural Resources,44.37B,Energy,181.73,-4.48%,"2,354,630",28.94
CTAS,Cintas,44.29B,Industrials,428.29,-3.01%,"338,396",40.55
PAYX,Paychex,44.27B,Information Technology,122.45,-2.10%,"886,333",36.44
APTV,Aptiv,44.20B,Consumer Discretionary,163.41,-3.63%,"821,905",55.56
KKR,KKR &amp; Co.,43.55B,Financials,74.35,-3.08%,"2,078,910",8.32
LYG,Lloyds Banking Group,43.52B,Financials,2.43,-6.54%,"7,209,465","8,100.00"
STM,STMicroelectronics,43.13B,Information Technology,47.55,-3.69%,"2,055,626",24.06
CNC,Centene,43.12B,Health Care,73.90,-2.26%,"1,992,072",59.17
DELL,Dell Technologies,42.98B,Information Technology,56.18,-1.95%,"3,856,141",11.64
ORLY,O'Reilly Automotive,42.83B,Consumer Discretionary,635.73,-1.67%,"255,782",22.09
MSI,Motorola Solutions,42.83B,Information Technology,253.58,-2.95%,"549,172",35.00
STZ,Constellation Brands,42.82B,Consumer Staples,229.32,-1.37%,"740,564",59.23
RSG,Republic Services,42.81B,Industrials,135.02,-2.44%,"661,570",35.63
KHC,Kraft Heinz,42.68B,Consumer Staples,34.83,-1.02%,"7,362,710",18.75
DOW,Dow Inc,42.60B,Materials,57.60,-1.76%,"4,316,122",7.48
TAK,Takeda Pharmaceutical,42.56B,Health Care,13.53,-0.88%,"4,098,538",10.37
LHX,L3Harris Technologies,42.21B,Industrials,215.12,-1.65%,"833,593",28.63
PLTR,Palantir,42.16B,Information Technology,21.03,-0.38%,"20,677,474",0.00
SLB,Schlumberger,41.92B,Energy,29.70,-5.44%,"12,410,763",25.52
SIVB,SVB Financial Group,41.91B,Financials,714.19,-3.55%,"274,411",21.91
BCS,Barclays,41.89B,Financials,9.98,-5.04%,"4,189,464",5.94
CTSH,Cognizant,41.18B,Information Technology,78.40,-2.90%,"1,726,772",22.12
AEP,American Electric Power,40.98B,Utilities,82.55,-1.52%,"1,636,282",17.34
VOD,Vodafone Group,40.87B,Communication Services,14.94,-2.54%,"5,501,487",0.00
ODFL,Old Dominion Freight Line,40.49B,Industrials,352.06,-1.89%,"372,336",43.53
DD,DuPont,39.87B,Materials,76.96,-2.21%,"2,129,420",7.11
HPQ,HP Inc,39.85B,Information Technology,34.58,-2.43%,"9,288,206",10.83
O,Realty Income,39.82B,Real Estate,69.47,-1.66%,"3,719,454",54.79
PH,Parker-Hannifin,39.79B,Industrials,309.64,-4.74%,"684,466",21.59
WBA,Walgreens Boots Alliance,39.73B,Consumer Staples,45.90,-1.54%,"4,286,786",15.65
